"Regulator","Target_Count","Overlap","OddsRatio","PValue","OverlapGenes","FDR"
"IRF6",1,1,14.9927797833935,0.1669341894061,"NR1H4",0.472980203317283
"KDM4C",1,1,14.9927797833935,0.1669341894061,"JAG1",0.472980203317283
"MAFB",1,1,14.9927797833935,0.1669341894061,"CCND2",0.472980203317283
"MAFF",1,1,14.9927797833935,0.1669341894061,"OXTR",0.472980203317283
"MAFK",1,1,14.9927797833935,0.1669341894061,"NQO1",0.472980203317283
"MDM2",1,1,14.9927797833935,0.1669341894061,"DNMT3A",0.472980203317283
"MDM4",1,1,14.9927797833935,0.1669341894061,"TP53",0.472980203317283
"NFRKB",1,1,14.9927797833935,0.1669341894061,"JUN",0.472980203317283
"NKX2-2",1,1,14.9927797833935,0.1669341894061,"NPPA",0.472980203317283
"NKX2-3",1,1,14.9927797833935,0.1669341894061,"EGR1",0.472980203317283
"PHF10",1,1,14.9927797833935,0.1669341894061,"CASP3",0.472980203317283
"PHF8",1,1,14.9927797833935,0.1669341894061,"CDC20",0.472980203317283
"POLR1A",1,1,14.9927797833935,0.1669341894061,"E2F1",0.472980203317283
"RBBP7",1,1,14.9927797833935,0.1669341894061,"CDH1",0.472980203317283
"RUVBL1",1,1,14.9927797833935,0.1669341894061,"TP53",0.472980203317283
"SCD5",1,1,14.9927797833935,0.1669341894061,"EGR2",0.472980203317283
"TCF12",1,1,14.9927797833935,0.1669341894061,"CDH1",0.472980203317283
"TCF7",1,1,14.9927797833935,0.1669341894061,"SNAI2",0.472980203317283
"TFCP2L1",1,1,14.9927797833935,0.1669341894061,"CYP11A1",0.472980203317283
"TP53BP1",1,1,14.9927797833935,0.1669341894061,"BRCA1",0.472980203317283
"TP65",1,1,14.9927797833935,0.1669341894061,"CDK6",0.472980203317283
"TRIP6",1,1,14.9927797833935,0.1669341894061,"CDK6",0.472980203317283
"UBP1",1,1,14.9927797833935,0.1669341894061,"CYP11A1",0.472980203317283
"YEATS4",1,1,14.9927797833935,0.1669341894061,"TP53",0.472980203317283
"ZIC3",1,1,14.9927797833935,0.1669341894061,"NPPA",0.472980203317283
"ZNF217",1,1,14.9927797833935,0.1669341894061,"CDH1",0.472980203317283
"ZNF383",1,1,14.9927797833935,0.1669341894061,"JUN",0.472980203317283
"ZNF423",1,1,14.9927797833935,0.1669341894061,"BRCA1",0.472980203317283
"HOXA9",9,3,2.69621430564599,0.178573189862847,"CDH3;VCAM1;RELA",0.496758146345739
"NR2F1",9,3,2.69621430564599,0.178573189862847,"LHCGR;MTTP;APOB",0.496758146345739
