"Term","NES","padj","LeadingEdgeGenes"
"Sensory Organ Development",1.54791238278533,0.000362530253386018,"SOX4;WNT5A;PRICKLE1;SOBP;NDP;DCHS1;HES1;NR4A3;SLC25A27;FAT3;VSTM4;LRP5;MFAP2;FOS;VANGL2;IGF1;FZD5;TGFB2;JUN;SALL2;CDKN1C;ADAMTS18;NRP1;RPGR;MERTK;HAND2;CCNA2;COL11A1;SKIL;PTPRM;SHROOM2;KCNQ1;NKD1;ALDH1A2;SLC25A25;CEBPD;TUB;FZD4;BCL2;TTC8;TBX3;JAG1;MAB21L2;VIM;DDR1;FGFR1;PBX3;AQP1;TECTA;PAX8;TMOD1;SCAPER;C3;PHACTR4;KLF4;FOXP2;PRDM1;BMPR2;NTRK2;ROM1;TOPORS;GRHL2;PPP1R13L;FOXG1;RARG;FOXL2;SGCD;PTK7;STAU2;EGFR;SOX9;TSPAN12;ACVR2B;DIAPH3;LRP10;DVL2;TULP3;RING1;CTNS;DLX5;PXDN;TSHZ1;SRF;SH3PXD2B;CHD7;FZD3;MEGF11;TGIF2;CHRNA10;FGFR2;FZR1;SIX5;IFT27;DTNBP1;NR2E3;STRC;PROM1;ZHX2;BLVRA;CACNA1C;MAB21L1;DAG1;ATP8B1;WT1;ZNF513;EFNA5;ATP8A2"
"Regulation of Synapse Structure or Activity",1.66852591255243,0.000363275407937906,"NLGN4X;WNT5A;PRICKLE1;DBN1;GRID2;SEMA7A;PAK3;CPEB3;CLSTN2;COLQ;GPC4;VANGL2;CDKL5;PTPN13;CAMK1;IQSEC2;CC2D1A;SEMA4A;PTPRS;DAB2IP;SRGAP3;LINGO2;MARK1;TRIM47;IGSF11;LSAMP;SRGAP2;LIN7B;DLG5;NGEF;ARHGAP33;RHOB;RPS6KA5;ARHGAP44;SYNDIG1;IL10;FGFR1;LZTS1;SLC12A5;CDC20;FYN;KIF1A;ZDHHC15;PTPRD;NTRK2;SEMA4C;AMIGO2;MAPRE3;LRRC24;HOMER1;MDGA1;ZMYND8;STAU2;DOCK1;LRFN3;FCGR2B;SLITRK4;SLITRK2;NRP2;SYNGAP1"
"Mitochondrial Rna Metabolic Process",-2.07657418136766,0.000474577774755555,"TRMT61B;LRPPRC;EARS2;C1QBP;PRKAA1;TRIT1;SLIRP;CDK5RAP1;TFB2M;TRUB2;TFAM;FASTKD1;NSUN4;SLC25A33;FASTKD5;GRSF1;FASTKD3;PUS1;YARS2;REXO2;HSD17B10;FOXO3;FASTK;FASTKD2;PNPT1;SUPV3L1;MRPL12"
"Cardiac Chamber Morphogenesis",1.86540941969782,0.000558196205793621,"SOX4;HES1;NPY2R;ZFPM2;SAV1;VANGL2;TGFB2;NRP1;SMAD6;HEYL;HAND2;SEMA3C;NRG1;COL11A1;SMO;DSP;GJA5;TBX3;JAG1;TNNI3;BMPR2;GRHL2;PPP1R13L;GSK3A;APLNR;NRP2;UBE4B;SRF;GATA6;CHD7;FGFR2;SMAD4"
"Cell Junction Assembly",1.54600453259458,0.000576295579541886,"NLGN4X;WNT5A;HOPX;PRICKLE1;CDH4;CDH3;LIMCH1;GRID2;JUP;CPEB3;CLSTN2;COLQ;GPC4;PTPN13;FZD5;FSCN1;IQSEC2;ARHGAP6;SORBS1;CC2D1A;NRP1;SEMA4A;PTPRS;PCDH17;ACE;TLN2;KCNJ8;GPM6B;RCC2;THSD1;GJA5;SRGAP3;STON1;LINGO2;MARK1;TRIM47;LDB1;IGSF11;LSAMP;SRGAP2;LIN7B;LAMA3;DLG5;CDH12;FBF1;ARHGAP33;BCL2;PLXNB1;GJC1;MYO1C;SPTBN2;SYNDIG1;ACTG1;FGFR1;LZTS1;FN1;PTPRK;SLC12A5;CDH1;MPDZ;THBS1;SNAI2;MICALL2;PTPRD;NTRK2;SEMA4C;AMIGO2;GRHL2;PCDHB14;MMP14;LRRC24;BSN;RYK;MDGA1;CLDN11;DNM3;STAU2;DOCK1;TESK2;APLNR;VSIG10;LRFN3;SLITRK4;CLDN18;SLITRK2;VCL"
"Tissue Morphogenesis",1.51947670835305,0.000576295579541886,"WNT5A;PRICKLE1;NPNT;DCHS1;DCHS2;HES1;CASR;NR4A3;ZFPM2;LRP5;VANGL2;IGF1;FZD5;LLGL2;TGFB2;ADAMTS12;NRP1;ITGB5;IGFBP5;HEYL;HAND2;SEMA3C;NRG1;COL11A1;HS3ST3A1;GREB1;SMO;DSP;CITED1;TGFB1I1;GREB1L;NKD1;ALDH1A2;FOXP1;ITGA3;DLG5;NTN4;NOTCH4;SOCS3;ADAMTS5;BCL2;TTC8;PAK1;TBX3;JAG1;RHOB;GZF1;DDR1;MED12;IL10;ACTG1;FGFR1;TNNI3;BRSK1;DLG3;PAX8;SMAD1;SUFU;TEAD2;SNAI2;PHACTR4;KLF4;SPINT1;PRKD2;ARMC5;HBEGF;BMPR2;SPINT2;KLHL3;MDK;SEMA4C;GRHL2;MMP14;ESRP2;RARG;HHIP;AXIN1;VPS52;PTK7;EGFR;NDRG4;CYP7B1;SOX9;APLNR;DVL2;VCL;NRP2;TGFB3;TULP3;EXT1;KRT19;TGM2;CTNNBIP1;FERMT2;GDF7;UBE4B;FLNA;PDGFA;TRIM28;SRF;CSF1;CHD7;FZD3;KIF26B;MMRN2;CLASP1"
"Mitotic Nuclear Division",1.62682597963663,0.000577335291388777,"PRICKLE1;KIFC1;BUB1;LRP5;KIF11;TTK;UBE2C;MKI67;KIF23;NCAPG;IGF1;CDKN1C;BIRC5;CENPE;BUB1B;CENPA;PDGFB;PRC1;INSR;ANLN;EPS8;DUSP1;KIF2C;NUMA1;KIF15;PLK1;KIF4A;MYBL2;DLGAP5;UBE2S;KIF18A;SKA2;ESPL1;KIF14;CDK1;CHEK1;ZWINT;CDC20;CEP55;SKA3;CEP192;NFE2L1;MAP9;PHIP;REEP4;FBXO5;MAD2L2;AKAP8L;SPAG5;MZT1;CENPF;FLNA;L3MBTL1;NCAPH;CDC14A;OFD1;NUSAP1;CLASP1;CUL9;SMPD3;NCAPD2;KIF22;USP44;PPP1R9B;NCAPH2;MAD1L1;CHMP4C;NCAPD3;INCENP;SH2B1;CEP97;NEK2;TOM1L2;LCMT1;NDC80;CCNB1;SIRT1"
"Morphogenesis of a Branching Structure",1.75587428465578,0.000705392637051929,"WNT5A;NPNT;DCHS1;CASR;LRP5;VANGL2;IGF1;FZD5;LLGL2;NRP1;SEMA3C;HS3ST3A1;SMO;CITED1;GREB1L;DLG5;NTN4;NOTCH4;SOCS3;BCL2;PAK1;TBX3;GZF1;DDR1;IL10;FGFR1;PAX8;SNAI2;SPINT1;PRDM1;SPINT2;MDK;GRHL2;MMP14;ESRP2;HHIP;SOX9;EXT1;TGM2;CTNNBIP1;GDF7;PDGFA;SRF;CSF1;FGFR2;SMAD4;ESR1;PTCH1;DAG1;CELSR1;PKD1;WT1;AGT;WNT4;FKBPL;HMGA2"
"Regulation of Cell Junction Assembly",1.650166398517,0.000705392637051929,"NLGN4X;WNT5A;HOPX;PRICKLE1;LIMCH1;GRID2;CPEB3;CLSTN2;COLQ;GPC4;PTPN13;FZD5;IQSEC2;ARHGAP6;CC2D1A;NRP1;SEMA4A;PTPRS;ACE;GPM6B;RCC2;SRGAP3;LINGO2;MARK1;TRIM47;LDB1;IGSF11;LSAMP;SRGAP2;LIN7B;DLG5;ARHGAP33;MYO1C;SYNDIG1;ACTG1;FGFR1;LZTS1;SLC12A5;THBS1;SNAI2;PTPRD;NTRK2;SEMA4C;AMIGO2;MMP14;LRRC24;MDGA1;STAU2;DOCK1;APLNR;LRFN3;SLITRK4;SLITRK2;VCL"
"Sulfur Compound Biosynthetic Process",-1.84914977251362,0.000705392637051929,"PGK1;ELOVL6;PDK1;ACLY;HSD17B12;SLC19A3;DLAT;TPK1;TECR;PAPSS2;FASN;SLC1A2;ACSS2;PPT1;ACSL1;ACSL3;GCLM;PDK3;ACOT7;PCCA;MTHFD1;ELOVL5;ACSL4;PANK1;ACACA;GSTP1;DLD;BHMT2;MCEE"
"Terpenoid Biosynthetic Process",-2.19665851354018,0.000713876485539157,"FDPS;ACAT2;MVK;LSS;MVD;ALDH8A1;HMGCS1;IDI1;DHRS9;HMGCR;ALDH1A3;DPM3;PMVK;GGPS1"
"Fatty Acid Derivative Metabolic Process",-1.97705264457486,0.000740142681451098,"ELOVL6;ACSS3;AACS;HSD17B12;TECR;FASN;PPT1;HSD17B4;TYRP1;ACSL1;ACSL3;HMGCL;FITM2;ACOT7;FAR1;ELOVL5;ALDH3A2;ACSL4;PAM;ACACA;DLD;PECR;DGAT2;NUDT8;DBT;PTGR1;DGAT1;GCDH;CBR4;CYP4F3"
"Stem Cell Development",1.90555962941978,0.000752888664150131,"SEMA5A;HES1;FGF12;SEMA7A;NRP1;SEMA4A;SEMA6C;HAND2;SEMA3C;NRG1;SMO;EFNB1;ALDH1A2;JAG1;FN1;EDNRB;SNAI2;PHACTR4;SEMA3A;SEMA4C;SEMA3B;SOX9;NRP2;TCOF1"
"Regulation of Sister Chromatid Segregation",1.8040355871764,0.000830571703559746,"BUB1;TTK;UBE2C;DPF3;BIRC5;CENPE;BUB1B;DUSP1;NUMA1;SMARCC2;PLK1;DLGAP5;BCL7A;ESPL1;CDK1;ZWINT;DPF2;CDC20;SMARCA2;SKA3;FBXO5;MAD2L2;BRD7;RMI2;HECW2;CENPF;ARID2;USP44;CDC6;MAD1L1;ANAPC2;ARID1B;INCENP;ARID1A;LCMT1;NDC80;CCNB1;SIRT1;DYNLRB1;IK;SMARCC1;HNRNPU;CHFR;RB1;SMARCD1;TPR"
"Negative Regulation of Cell Differentiation",1.51405443997585,0.000868030562622983,"SOX4;ID3;WNT5A;JDP2;HOPX;SEMA5A;PRICKLE1;S100B;ID1;ASPM;HES1;FOXO1;CRIM1;ZFPM2;ZBTB16;LRRC17;TNFSF4;LRP5;DAAM2;IGF1;TGFB2;ADAMTS12;NRP1;PDGFB;PTPRS;IGFBP5;SMAD6;SEMA6C;HAND2;SKIL;ENPP1;ERBB2;PRDM6;CNTN4;BCL11A;SMO;DAB2IP;CITED1;TGFB1I1;TMEM176B;MYOCD;MARK1;MYB;LDB1;TOB1;FSTL3;PIK3R1;FOXP1;HDAC5;NOTCH4;ZFP36;ZFP36L2;PAK1;BCL7A;S1PR3;TBX3;ULK2;JAG1;LTBP3;ZBTB7B;TMEM176A;IRF1;SOX6;GDI1;LRP3;EIF4ENIF1;PRTG;SUFU;CDH1;DPF2;TRIM11;EDNRB;SNAI2;SMARCA2;CDK6;REG3G;TRIM6;MDK;SPSB3;PAF1;MAG;FOXG1;RARG;RYK;NFATC1;GSK3A;AXIN1;EGFR;MAD2L2;SOX9;TLR3;FCGR2B;CLDN18;ULK1;TMEM98;SOCS5;SYNGAP1;NOTCH3;TMSB4X;C1QC;CNTN2;KCTD11;FERMT2;LIN28A;MMP11;IGDCC4;ASXL1;LIMD1;DIP2B;DDIT3;IL18;YPEL4;SMAD4;FOXO4;PTCH1;AXIN2;GPR137;AKIRIN1;ZHX2;DPYSL5;CEACAM1;SS18;N4BP2L2;EFNB3;E2F1;NFKBIA;ADAMTS7;SIRT1;IFRD1;SORT1;FOXJ2;TWSG1;LAG3;EFNA1;WNT4;HMGB3;SEMA4F;SPRED3;HMGA2;ABCA5;CDK13;ZNF675;TRIM62;GREM1;TOB2;PKP2;SFRP1;SMARCC1;HEY2;KLF13;DNMT1;TSKU;SMAD7;ZFHX3;CTDSP1;ZNF750"
"Monocarboxylic Acid Biosynthetic Process",-1.69683172729194,0.000870668327760778,"MLXIPL;FADS2;ELOVL6;SCD;APOC1;FADS1;NR1H4;ACLY;HSD17B12;SIGMAR1;NME1;VDAC1;PTGES;STAR;PARK7;TECR;OSBPL6;ALDH8A1;MTHFD1L;FASN;ACSS2;ERRFI1;FABP5;HSD17B4;STARD4;ACSL1;PRKAA1;DHRS9;INSIG2;ACOT7;ACOX1;LPGAT1;ALDH1A3;NDUFAB1;ELOVL5;ACSL4;OSBP;ERLIN2;MECR;PTGES3;ACACA;ACOT4;GSTP1;OXSM;CBR1;LDHAL6B;PECR;PRKAG2;INSIG1;ERLIN1;MLYCD;MIF;SCP2;DECR2;ABHD3;ABHD2;PLAA;MTHFD2;GAMT;NR1H3"
"Positive Regulation of Transmembrane Receptor Protein Serine Threonine Kinase Signaling Pathway",1.83625629417504,0.000922553239414442,"ATOH8;NPNT;HES1;TTK;AMH;TGFB2;CDKN1C;CITED1;NUMA1;TGFB1I1;MYOCD;ING2;NEO1;THBS1;ZNF423;BMPR2;AXIN1;NUP93;UBE2O;ACVR2B;TGFB3;GDF7;SCUBE3"
"Regulation of Synapse Assembly",1.74167257677338,0.000998153101061138,"NLGN4X;WNT5A;PRICKLE1;GRID2;CPEB3;CLSTN2;COLQ;GPC4;PTPN13;IQSEC2;CC2D1A;SEMA4A;PTPRS;SRGAP3;LINGO2;MARK1;TRIM47;IGSF11;LSAMP;SRGAP2;LIN7B;DLG5;ARHGAP33;SYNDIG1;FGFR1;LZTS1;SLC12A5;PTPRD;NTRK2;SEMA4C;AMIGO2;LRRC24;MDGA1;STAU2;DOCK1;LRFN3;SLITRK4;SLITRK2"
"Neural Crest Cell Differentiation",1.87274088687861,0.00100284110451835,"SEMA5A;HES1;FGF12;SEMA7A;NRP1;SEMA4A;SEMA6C;HAND2;SEMA3C;NRG1;SMO;EFNB1;ALDH1A2;LRP6;JAG1;FN1;EDNRB;SNAI2;PHACTR4;SEMA3A;SEMA4C;SEMA3B;SOX9;NRP2;TCOF1;EXT1"
"Inner Mitochondrial Membrane Organization",-2.04942482875301,0.0010240583347602,"SAMM50;APOO;APOOL;IMMT;TIMM8B;AGK;CHCHD10;TIMM10;GHITM;MTX3;ROMO1;TIMM13;TMEM126A;TIMM8A;AFG3L2;TIMM22;HSPA9;SLC25A46;NDUFA13;DNAJC11;TIMM9"
"Ribosomal Large Subunit Biogenesis",-1.93439154816925,0.00113409973199631,"RPF2;NIP7;NPM1;MRTO4;RPL7L1;NDUFAB1;CINP;EBNA1BP2;DDX55;NSUN4;HEATR3;GTPBP4;RPL35A;RPL5;RPL7A;FTSJ3;RPL35;MTG1;NVL;PES1;RPL11;LAS1L;WDR12;RPL7;RPL14;NOP16;WDR74;SDAD1;DDX18;FASTKD2;NSA2;RPL26;TUFM"
"Stem Cell Differentiation",1.67955295230531,0.00114687253804859,"SEMA5A;PRICKLE1;HES1;FGF12;SEMA7A;SOX5;TGFB2;NRP1;SEMA4A;SEMA6C;HAND2;SEMA3C;ACE;NRG1;SMO;EFNB1;LMBR1L;MYOCD;ALDH1A2;LRP6;ZFP36L2;JAG1;LTBP3;SOX6;FN1;SMAD1;TEAD2;EDNRB;SNAI2;CDK6;PHF19;TRIM6;PHACTR4;TP53;SEMA3A;BMPR2;SEMA4C;SEMA3B;SOX9;NRP2;TCOF1;TMSB4X;EXT1;ERCC2;LIN28A;SRF;NR6A1;FGFR2;SMAD4;FOXO4;ESR1;CHD3;SEMA6A;N4BP2L2;L3MBTL2;SEMA4F;EPCAM;HMGA2;TAL1;CDK13;GATAD2B;CDH2;SEMA6B;GREM1;SFRP1;RBM24"
"Response to Oxygen Radical",-2.1626984785487,0.00119795820683996,"MT3;UCP2;NQO1;SOD2;PARK7;PRDX1"
"Regulation of Growth",1.49514209879177,0.00130327387009596,"WNT5A;HOPX;SEMA5A;CDH4;OSGIN2;RIMS1;SOCS2;PIM1;CAMK2D;ZFPM2;SEMA7A;COLQ;IGFBP3;SAV1;SYT2;CDKL5;IGF1;TGFB2;ESR2;NRP1;PTPRS;IGFBP7;IGFBP5;SEMA6C;NRG1;ENPP1;ERBB2;INSR;BCL11A;SMO;ING1;IGFBP1;RIMS2;TTL;MYOCD;AVPR1A;PIK3CA;TLL2;TSPYL2;BRCA1;LTBP4;PRDM11;LIN7B;FOXP1;TFCP2L1;CDKN2C;CISH;OGFR;BCL2;RFTN1;PAK1;ULK2;DDR1;GDI1;FGFR1;FN1;CAPN3;VGLL4;KIF14;CDK1;LRP12;CDKN2AIP;TCHP;CDH1;SGK1;PRKCQ;SMARCA2;FOSL2;TP53;SEMA3A;TEAD1;HBEGF;BMPR2;SLC23A2;WWC3;MMP14;MAG;CRABP2;RYK;GSK3A;LIMK1;NPPA;EGFR;MAD2L2;GDF9;WWC2;ULK1;EPHX2;MUC12;SYT1"
"Cardiac Muscle Tissue Development",1.67559213425558,0.00132044693439012,"MYH11;SIK1;HOPX;PRICKLE1;PIM1;ZFPM2;SAV1;IGF1;TGFB2;NRG1;COL11A1;KCNJ8;DSP;GJA5;GREB1L;MYOCD;ALDH1A2;SCN5A;FOXP1;PAK1;TBX3;GJC1;SOX6;FGFR1;TNNI3;VGLL4;CDK1;SMAD1;BMPR2;PPP1R13L;GSK3A;SGCD;NPPA;NDRG4;LMNA;UBE4B;SRF;GATA6;CACNA1G;CHD7;ARID2;FGFR2;SMAD4"
"Ketone Metabolic Process",-1.6669321597403,0.00133270215262036,"PGK1;MLXIPL;CYP11A1;APOC1;NR1H4;FABP3;PDK1;TPI1;NQO1;PDSS1;NME1;STAR;TPK1;AKR1B1;PARK7;ALDH8A1;HSD17B6;FABP5;AKR1C2;STARD4;NDUFA9;PDSS2;DHRS9;NQO2;PDK3;VKORC1;INSIG2;LPGAT1;GLO1;ELOVL5;ERLIN2;HSD17B1;COQ5;AKR1C1;CBR1;HSD3B1;PRKAG2;INSIG1;KDSR;DGAT2;ERLIN1;MLYCD;SCP2;COQ3;PLAA;MFSD2A;NR1H3;TRIB3;HAGH;AKR1A1;BMP2;ADM;RTN4IP1;SLC45A3;SREBF1;COQ2;HSD17B10;CLCN2;NME2;AKR7A2;STAT5B;CBR4"
"Mitotic Cell Cycle Checkpoint Signaling",1.73393485669993,0.00133270215262036,"BUB1;TTK;BIRC5;BUB1B;DUSP1;IER3;STK33;PLK1;BRCA1;MBTPS1;CDK2;CDK1;BRSK1;CHEK1;ZWINT;CDC20;TP53;DGKZ;SKA3;ORC1;MDC1;PLK3;MAD2L2;CDK5RAP3;MUS81;CENPF;FANCD2;DTL;USP44;FZR1;FOXO4;RFWD3;CDC6;BARD1;MAD1L1;HUS1B;CHMP4C;RBBP8;INCENP;FBXO31;LCMT1;NDC80;CCNB1;UIMC1;FOXN3;EME1;XPC;CDC7;TRIM39"
"Digestive System Development",1.80135950990491,0.0014057048787525,"WNT5A;DCHS1;HES1;SAV1;VANGL2;IGF1;HIP1R;TGFB2;ALX4;CDKN1C;INSR;SMO;KCNQ1;MYOCD;ALDH1A2;MYB;SFRP5;DACT1;BCL2;PCSK5;ASS1;EDNRB;PRDM1;VPS52;EGFR;ACVR2B;CLDN18;EXT1;PDGFA;GATA6"
"Non Canonical Wnt Signaling Pathway",1.89153060261138,0.00144608213045464,"WNT5A;PRICKLE1;SFRP4;DAAM2;VANGL2;FZD5;ZNRF3;NKD1;SFRP5;DACT1;FZD4;MED12;CELSR2;CSNK1E;RYK;DVL2;DAAM1;DVL3;ARHGEF19;FZD3;PLEKHA4"
"Developmental Growth",1.47655379670933,0.00144948389196346,"NLGN4X;FSHR;WNT5A;HOPX;SEMA5A;PRICKLE1;CDH4;S100B;RIMS1;ASPM;SOCS2;PIM1;ZFPM2;SEMA7A;PRKCZ;COLQ;PRLR;SAV1;VANGL2;SYT2;CDKL5;IGF1;AMH;LLGL2;TGFB2;CDKN1C;ETNK2;NRP1;PTPRS;SEMA6C;NRG1;KCNJ8;INSR;BCL11A;SMO;TMEM108;IGFBP1;RIMS2;TTL;NKD1;PIK3CA;TLL2;SLC25A25;LIN7B;FOXP1;BCL2;TTC8;PAK1;ULK2;POC1A;DDR1;MED12;SPTBN2;GDI1;FGFR1;WDTC1;FN1;CAPN3;VGLL4;SLC12A5;CDK1;CHEK1;SMAD1;CDH1;COL6A1;FOSL2;SEMA3A;BMPR2;SLC23A2;WWC3;MDK;GRHL2;THBS3;PPP1R13L;MAG;RARG;CRABP2;RYK;GSK3A;LIMK1;FOXL2;PTK7;NPPA;NDRG4;SOX9;ACVR2B;GDF9;WWC2;INTS1;CLDN18;ATRX;ULK1;VCL;NRP2;SYT1;RAD51B;EXT1;ERCC2;PLEKHA1;ZFYVE27;SOX15;EHMT2;TRIM28;SRF;GATA6;BRCA2;DIP2B;CSF1;CHD7;KIF26B"
"Rna 5 End Processing",-2.10574794530627,0.00157493924814664,"LSM11;SSB;RNGTT;RPP40;SNRPD3;RPP30;POP4;SNRPD2;POP1;SNRPD1;SNRPG;NOP14;TGS1;UTP20;HSD17B10;RNMT;SNRPB;POP7;PNPT1;SNRPE"
"Ventricular Septum Development",1.86384474487546,0.00175669406618988,"SOX4;WNT5A;HES1;ZFPM2;SAV1;VANGL2;TGFB2;SMAD6;HEYL;GJA5;TBX3;PAX8;SUFU;PRDM1;BMPR2;PTK7;APLNR"
"Mitotic Sister Chromatid Segregation",1.64639676069031,0.00176136141702897,"PRICKLE1;KIFC1;BUB1;KIF11;TTK;UBE2C;KIF23;NCAPG;BIRC5;CENPE;BUB1B;CENPA;PRC1;DUSP1;KIF2C;NUMA1;KIF15;PLK1;KIF4A;MYBL2;DLGAP5;KIF18A;SKA2;ESPL1;KIF14;CDK1;ZWINT;CDC20;CEP55;SKA3;CEP192;MAP9;FBXO5;MAD2L2;AKAP8L;SPAG5;MZT1;CENPF;FLNA;NCAPH;OFD1;NUSAP1;CLASP1;NCAPD2;KIF22;USP44;NCAPH2;MAD1L1;CHMP4C;NCAPD3;INCENP;CEP97;NEK2;LCMT1;NDC80;CCNB1;SIRT1;DCTN2;CHMP1B;DYNLRB1;GOLGA2;KIF18B;NCAPG2;IK;AAAS;STAG2;HNRNPU;EML3;RB1;CCDC61;TPR;CENPK;RRS1"
"Establishment of Protein Localization to Endoplasmic Reticulum",-2.00459517895,0.00179541065437635,"HSPA5;SRPRB;SPCS1;RYR2;TRAM2;SSR4;SSR1;SEC61B;UBL4A;SSR3;RAB3GAP1;SEC61A1;SEC61G;SRP72;SRP68;ZFAND2A;SGTA;SPCS2;SRP19;SRP9;TRAM1;SEC63;SSR2;EDEM1;SEC62;SRP14;SRP54"
"Developmental Cell Growth",1.65217484130758,0.00183706329527655,"WNT5A;SEMA5A;PRICKLE1;CDH4;S100B;RIMS1;SEMA7A;PRKCZ;SYT2;CDKL5;IGF1;NRP1;PTPRS;SEMA6C;BCL11A;TMEM108;RIMS2;TTL;FOXP1;PAK1;ULK2;DDR1;GDI1;FN1;CDH1;SEMA3A;BMPR2;SLC23A2;MAG;RARG;CRABP2;RYK;GSK3A;LIMK1;FOXL2;NPPA;SOX9;GDF9;ULK1;VCL;NRP2;SYT1;EXT1;ZFYVE27;SRF;DIP2B"
"Muscle Tissue Development",1.54026201432709,0.00183871089162164,"MYH11;SIK1;HOPX;PRICKLE1;S100B;PGM5;EGR2;PIM1;ZFPM2;NR4A1;FOS;SAV1;BTG2;IGF1;TGFB2;IGFBP5;HEYL;SEMA3C;NRG1;COL11A1;SKIL;KCNJ8;SMO;DSP;ATF3;GJA5;GREB1L;MYOCD;ALDH1A2;TLL2;SCN5A;FOXP1;BCL2;PAK1;TBX3;GJC1;EGR1;SOX6;FGFR1;TNNI3;VGLL4;CDK1;SMAD1;COL6A1;FOSL2;FOXP2;BMPR2;CSRP2;PPP1R13L;CSRP1;GSK3A;HOMER1;FOXL2;SGCD;NPPA;NDRG4;SOX9;LMNA;HLF;CENPF;ARRDC2;SOX15;UBE4B;SRF;GATA6;CACNA1G;CHD7;ARID2;FGFR2;SMAD4;GPCPD1;PTCH1;ZFAND5;AKIRIN1;EFEMP2;NR2F2;BCL9"
"Postsynapse Organization",1.64550380179343,0.00183871089162164,"WNT5A;PRICKLE1;DBN1;GRID2;PAK3;CPEB3;COLQ;CDKL5;HIP1R;PICK1;CC2D1A;NRP1;PTPRS;INSR;TMEM108;KIF2C;MARK1;TRIM47;ITGA3;DLG5;NGEF;ARHGAP33;RPS6KA5;ARHGAP44;SPTBN2;SYNDIG1;ACTG1;FGFR1;LZTS1;MTMR2;SLC12A5;FYN;KIF1A;ZDHHC15;PTPRD;SEMA4C;MAPRE3;DLG4;HOMER1;ZMYND8;STAU2;DOCK1;FCGR2B;NRP2;SYNGAP1"
"Maturation of Ssu Rrna",-1.88285322651165,0.0018465196812686,"WDR43;RCL1;RRP36;RRP7A;NOL11;TSR1;IMP3;RPP40;RPS28;RPS8;RPS21;WDR36;EMG1;SRFBP1;NOL7;DCAF13;DDX52;NOP14;UTP6;BYSL;UTP20;FBL;WDR3;NOB1;RPS14;BMS1;RPS19;NAT10;FCF1;HEATR1;TSR2;RPS16;UTP15;DNTTIP2"
"Regulation of Wnt Signaling Pathway",1.57393689284445,0.00197747198915576,"SOX4;WNT5A;SEMA5A;PRICKLE1;ASPM;SFRP4;CDH3;FOXO1;JUP;DEPDC1B;DAAM2;KANK1;VANGL2;CMAHP;BICC1;ZNRF3;DAB2IP;CITED1;IGFBP1;LMBR1L;NKD1;TMEM88;SFRP5;ITGA3;MEST;DACT1;GRB10;CDK14;WNK3;EGR1;NRBP2;VGLL4;PPM1B;SNAI2;APCDD1L;IGFBP2;SOX13;APC2;GPC5;MDK;TCF7L1;CSNK1E;NFATC1;GSK3A;SPIN4;AXIN1;PTK7;NPPA;EGFR;MAD2L2;SOX9;HIC1;TCF7L2;CTNNBIP1;DLX5;LIMD1;DDIT3;PLEKHA4;MDFI;WWOX;FGFR2;SMAD4;FRAT1;AXIN2;RNF146"
"Vacuolar Acidification",-2.02642509382659,0.00206633437635328,"CREG1;PPT1;CLN5;ATP6AP1;TCIRG1;TMEM9;CLIC4;ATP6AP2;ATP6V1B2;ATP6V1H;CLN3;RNASEK;LAMP2;ATP6V0E1;SLC11A1;DMXL1"
"Positive Regulation of Epithelial Cell Proliferation",1.69702146411043,0.00211190180468166,"IQGAP3;WNT5A;SEMA5A;CDH3;AKT3;NR4A3;NR4A1;VASH2;IGF1;JUN;NRP1;PDGFB;EGR3;ERBB2;SMO;ANG;HMGB2;SCN5A;F3;HMOX1;IL10;FGFR1;TNFSF12;REG3G;FOXP2;PRKD2;TNFAIP3;MDK;ESRP2;EGFR;CYP7B1;SOX9;APLNR;TCF7L2;NRP2"
"Regulation of Plasma Lipoprotein Particle Levels",-1.89972909435033,0.00232104450407341,"APOC1;NR1H4;PCSK9;VLDLR;APOA1;SCARB1;CSK;CNPY2;NCEH1;ANGPTL3;LPCAT3;APOE;ANXA2;PLTP;LIPA;ACSL3;ABCA1;PCSK6"
"Fatty Acyl Coa Metabolic Process",-2.0494688417329,0.0023511197365825,"ELOVL6;HSD17B12;TECR;FASN;PPT1;HSD17B4;ACSL1;ACSL3;FITM2;ACOT7;FAR1;ELOVL5;ACSL4;ACACA;DLD;DGAT2;NUDT8;DBT;DGAT1;GCDH;CBR4"
"Positive Regulation of Cell Growth",1.73633498085397,0.0023718065379695,"SEMA5A;CDH4;RIMS1;SEMA7A;SYT2;CDKL5;IGF1;TGFB2;NRP1;NRG1;ERBB2;BCL11A;IGFBP1;RIMS2;AVPR1A;BCL2;PAK1;GDI1;FN1;CDKN2AIP;TEAD1;HBEGF;BMPR2;SLC23A2;MMP14;CRABP2;LIMK1;EGFR;SYT1;ZFYVE27;SRF"
"Monocarboxylic Acid Catabolic Process",-1.78189765571563,0.00241259268157476,"LDHA;CROT;DECR1;LDHB;SORD;SLC16A3;DLAT;LPIN1;HSD17B4;FAH;ACOT7;ACOX1;ETFB;PCCA;ACBD5;SLC16A1;ETFA;ECH1;ECHS1;HADH;LDHAL6B;MCEE;IVD;MLYCD;SCP2;NUDT8;DECR2;ABHD3;ABHD2;ETFDH;MFSD2A;AKR1A1;ABCD3;ECI2;XYLB;PHYH;ECHDC1;HSD17B10;GCDH;PCCB"
